Group Number,Assigned Roll Numbers,Section 1 Project,Section 2 Project
Group 1,"10004, 10252, 10093, 10620, 10312, 10065, 10258, 10420",6,3
Group 2,"10350, 10019, 10302, 10355, 10361, 10152, 10003, 10653",5,9
Group 3,"10158, 10329, 10461, 10179, 10023, 10010, 10470, 10221",21,23
Group 4,"10271, 10062, 10171, 10396, 10590, 10032, 10659, 10423",9,6
Group 5,"10254, 10299, 10658, 10342, 10335, 10012, 10410, 10184",25,14
Group 6,"10246, 10447, 10142, 10486, 10045, 10255, 10414, 10014",22,4
Group 7,"10024, 10243, 10192, 10186, 10401, 10172, 10337, 10068, 10416",18,17
Group 8,"10446, 10318, 10459, 10123, 10005, 10132, 10261, 10031",20,8
Group 9,"10425, 10122, 10317, 10095, 10073, 10066, 10161, 10197",19,13
Group 10,"10257, 10421, 10027, 10242, 10399, 10169, 10333, 10226",15,19
Group 11,"10478, 10263, 10131, 10348, 10427, 10157, 10236, 10260",14,11
Group 12,"10474, 10077, 10041, 10033, 10583, 10601, 10636, 10163",10,5
Group 13,"10351, 10488, 10121, 10237, 10320, 10213, 10595, 10354",13,2
Group 14,"10175, 10220, 10241, 10057, 10408, 10309, 10635, 10166",26,15
Group 15,"10406, 10170, 10518, 10102, 10153, 10034, 10145, 10038",7,7
Group 16,"10150, 10417, 10362, 10455, 10589, 10308, 10336, 10419",3,1
Group 17,"10403, 10269, 10285, 10360, 10298, 10274, 10567, 10404",2,25
Group 18,"10482, 10499, 10352, 10238, 10266, 10429, 10219, 10500, 10509",24,24
Group 19,"10267, 10006, 10334, 10457, 10210, 10090, 10505, 10277",17,18
Group 20,"10094, 10418, 10079, 10182, 10204, 10191, 10321, 10259",11,20
Group 21,"10168, 10193, 10141, 10113, 10103, 10340, 10208, 10110",23,12
Group 22,"10008, 10282, 10224, 10328, 10339, 10642, 10194, 10064",8,26
Group 23,"10491, 10413, 10359, 10436, 10247, 10304, 10104, 10391",16,21
Group 24,"10118, 10055, 10356, 10270, 10264, 10030, 10346, 10392",12,22
Group 25,"10570, 10022, 10127, 10310, 10314, 10201, 10301, 10105",4,10
Group 26,"10233, 10114, 10100, 10050, 10451, 10199, 10129, 10393",1,16
